"This dataset comprises surface water quality, water temperature profiles, and meteorological data  recorded at the Lough Feeagh Automatic Water Quality Monitoring Station (AWQMS) from 2004 to current.",,,,,,,,,,,,,,,
The AWQMS records data at high freqency and records on a Campbell scientific data logger. ,,,,,,,,,,,,,,,
"The AWQMS is permanently moored in 45 metres of water located at 53.946 N, -9.577 W",,,,,,,,,,,,,,,
"Almost all of the data are at a 2 min time step, apart from the period 2008-03-27 16:10:00 until 2009-02-03 00:30:00, when data were recorded every 5 minutes.",,,,,,,,,,,,,,,
DateTime is in GMT (Greemwich  and are not corrected for summer time.,,,,,,,,,,,,,,,
"Maintenance logs can be found in the ""Comments"" file",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Note for damian,Fieldname,destinationName,parameter description,Depth / Height (m),units,Sensor,Model,Manufacturer,Date,Website,Additional notes,,,,sensor
can we make this say Water_Temp_2.5m?,Water_Temp_2m,Water_Temp_2.5m,Water_Temperature,-2.5,deg C,Platinum Resistance Thermometer (PRT),PT100 1/10DIN four wire sensor,Lab Facility,pre 2003,http://www.labfacility.co.uk/,"custom made chain with sensors giving a basic accuracy of the sensor of ±0.03°C.  The accuracy of the overall system will not be quite as good as this (because of other factors such as the measuring accuracy of the logger), but should be better than ±0.1°C",,,,
OK,Water_Temp_5m,Water_Temp_5m,Water_Temperature,-5,deg C,Platinum Resistance Thermometer (PRT),PT100 1/10DIN four wire sensor,Lab Facility,pre 2003,http://www.labfacility.co.uk/,,,,,
OK,Water_Temp_8m,Water_Temp_8m,Water_Temperature,-8,deg C,Platinum Resistance Thermometer (PRT),PT100 1/10DIN four wire sensor,Lab Facility,pre 2003,http://www.labfacility.co.uk/,,,,,
OK,Water_Temp_11m,Water_Temp_11m,Water_Temperature,-11,deg C,Platinum Resistance Thermometer (PRT),PT100 1/10DIN four wire sensor,Lab Facility,pre 2003,http://www.labfacility.co.uk/,,,,,
OK,Water_Temp_14m,Water_Temp_14m,Water_Temperature,-14,deg C,Platinum Resistance Thermometer (PRT),PT100 1/10DIN four wire sensor,Lab Facility,pre 2003,http://www.labfacility.co.uk/,,,,,
OK,Water_Temp_16m,Water_Temp_16m,Water_Temperature,-16,deg C,Platinum Resistance Thermometer (PRT),PT100 1/10DIN four wire sensor,Lab Facility,pre 2003,http://www.labfacility.co.uk/,,,,,
OK,Water_Temp_18m,Water_Temp_18m,Water_Temperature,-18,deg C,Platinum Resistance Thermometer (PRT),PT100 1/10DIN four wire sensor,Lab Facility,pre 2003,http://www.labfacility.co.uk/,,,,,
OK,Water_Temp_20m,Water_Temp_20m,Water_Temperature,-20,deg C,Platinum Resistance Thermometer (PRT),PT100 1/10DIN four wire sensor,Lab Facility,pre 2003,http://www.labfacility.co.uk/,,,,,
OK,Water_Temp_22m,Water_Temp_22m,Water_Temperature,-22,deg C,Platinum Resistance Thermometer (PRT),PT100 1/10DIN four wire sensor,Lab Facility,pre 2003,http://www.labfacility.co.uk/,,,,,
OK,Water_Temp_27m,Water_Temp_27m,Water_Temperature,-27,deg C,Platinum Resistance Thermometer (PRT),PT100 1/10DIN four wire sensor,Lab Facility,pre 2003,http://www.labfacility.co.uk/,,,,,
OK,Water_Temp_32m,Water_Temp_32m,Water_Temperature,-32,deg C,Platinum Resistance Thermometer (PRT),PT100 1/10DIN four wire sensor,Lab Facility,pre 2003,http://www.labfacility.co.uk/,,,,,
OK,Water_Temp_42m,Water_Temp_42m,Water_Temperature,-42,deg C,Platinum Resistance Thermometer (PRT),PT100 1/10DIN four wire sensor,Lab Facility,pre 2003,http://www.labfacility.co.uk/,,,,,
OK,AirTemperature,AirTemperature,Air_Temperature,2,deg C,Non-Aspirated platinum resistance thermometer (PRT),SKH 2012,Skye instruments,pre 2003,http://www.skyeinstruments.com/,,,,,
OK,Barometric_Pressure_1,Barometric_Pressure_1,Barometric_Pressure,2,mBar,Semiconductor strain gauge,PDCR 1830,Druck Instruments (General Electric),pre 2003,http://www.gesensing.com/products/pdcr_1830.htm?bc=bc_drucks,,,,,
OK,Nephelometer,Nephelometer,Turbidity,-0.9,mV,Nephelometer,Minitracka mk II,Chelsea Technologies Group Ltd,2004,http://www.chelsea.co.uk/Instruments%20MINItracka.htm,,,,,
OK,Chlorophyll_A,Chlorophyll_A,Chlorophyll_Fluorescence,-0.9,mV,Flourometer,Minitracka mk II,Chelsea Technologies Group Ltd,2005,http://www.chelsea.co.uk/Instruments%20MINItracka.htm,,,,,
OK,CDOM,CDOM,Colored_Dissolved_Organic Matter,-1.1,mV,CDOM fluorometer,CDOM,Seapoint ,2010,seapoint@seapoint.com,,,,,
OK,Pyranometer,Pyranometer,Solar_Radiation,2.3,W.m-2,(Pyranometer),CM6B,Kipp and Zonen,pre 2003,http://www.kippzonen.com/pages/1610/3/CMP6,,,,,
OK,Surface_PFD,Surface_PFD,Photosynthetically_Active_Radiation,2.3,µmol.m-2.s-1,Photodiode based quantum light cell,LI-190-SA,Licor,pre 2003,http://www.licor.com/env/Products/Sensors/190/li190_description.jsp,,,,,
OK,Underwater_PFD,Underwater_PFD,Photosynthetically_Active_Radiation_Penetration,-0.35,µmol.m-2.s-1,Not fitted,,,,,,,,,
OK,Anemometer,Anemometer,Wind_Speed,2.3,knots (some years m/sec),Cup anemometer,A100L2-WR,Vector Instruments,pre 2003,http://www.windspeed.co.uk/ws/index.php?option=displaypage&Itemid=49&op=page,"Some years, these data were recorded in knots, and in other years, m/sec. A quick check is that the average wind speed over any time period should give ~5 m/sec or ~10 knots. A compiled /QA/Qced wind speed is available on request through data.marine.ie",,,,
OK,Anemometer_Squared,Anemometer_Squared,Wind_Speed,2.3,knots (some years m/sec),Cup anemometer,A100L2-WR,Vector Instruments,pre 2003,http://www.windspeed.co.uk/ws/index.php?option=displaypage&Itemid=49&op=page,,,,,
OK,Anemometer_Cubed,Anemometer_Cubed,Wind_Speed,2.3,knots (some years m/sec),Cup anemometer,A100L2-WR,Vector Instruments,pre 2003,http://www.windspeed.co.uk/ws/index.php?option=displaypage&Itemid=49&op=page,,,,,
OK,Bearing,Bearing,Bearing,2.3,degrees,Flux-gate compass,C100 compass engine,KVH Industries,pre 2003,http://www.kvh.com/products/product.asp?id=19,,,,,
OK,Wind_Vane,Wind_Vane,Wind_Direction,2.3,degrees,Wind vane (poteniometer),W200-P-WR,Vector Instruments,pre 2003,http://www.windspeed.co.uk/ws/index.php?option=displaypage&op=page&Itemid=62,,,,,
OK,Corrected_Wind_Direction,Corrected_Wind_Direction,Wind_Direction,2.3,degrees,"This is wind vane, corrected with the bearing of the station",,,,,,,,,
remove from table,Sonde_Depth,Sonde_Depth,Depth,-0.92,m,,,,,,,,,,
OK,Sonde_Temperature,Sonde_Temperature,Water_Temperature,-0.92,deg C,,Hydrolab Quanta; Hydrolab  Data Sonde 5X ,Hach Environmental,2003-2009,http://www.hydrolab.com/products/quanta.asp,,,,,
OK,Sonde_SpCo,Sonde_SpCo,Conductivity,-0.92,mS.cm-1,,Hydrolab Quanta; Hydrolab  Data Sonde 5X ,Hach Environmental,2003-2009; 2009-present,http://www.hydrolab.com/products/quanta.asp; https://www.ott.com/en-us/products/water-quality-2/hydrolab-ds5x-multiparameter-data-sonde-855/,,,,,
